about|туралы|preposition|осы туралы if in help - about
accelerate|үдету|verb|
access|қол жеткізу|verb|
account|тіркелгі|noun|
action|әрекет|noun|
active|белсенді|adjective|
addon|қосымша|noun|
address|адрес|noun|
advanced|кеңейтілген|adjective|
algorithm|алгоритм|noun|
alternate|балама|adjective|
any|кез келген|determiner|
application|қолданба|noun|
apply|іске асыру|verb|
archive|архив|noun|
array|массив|noun|
arrow|бағдарша|noun|
attribute|атрибут|noun|
audio|аудио|noun|
auto|авто|adjective|
automatic|автоматты түрде|adjective|
background|фон|noun|
backup|сақтық көшірме|noun|
backward|артқа|adverb|
band|жолақ|noun|
bandwidth|өткізу жолағы|noun|
bevel|бедер|noun|
bit|бит|noun|
bitrate|битрейт|noun|
black|қара|adjective|
block|блок|noun|
blue|көк|adjective|
bold|жуан|adjective|
bookmark|бетбелгі|noun|
boolean|логикалық|adjective|
bottom|төменгі|adjective|
branch|тармақ|noun|
brightness|жарықтық|noun|
browse|шолу|verb|
browser|браузер|noun|
brush|қылқалам|noun|
buffer|буфер|noun|
build|құрастыру|verb|
button|батырма|noun|
byte|байт|noun|
caching|кэштеу|noun|
cancel|бас тарту|verb|
capture|түсіру|verb|
center|орта|noun|
change|өзгерту|verb|
channel|арна|noun|
chapter|тарау|noun|
checksum|бақылау сомасы|noun|
child|еншілес (процесс)|noun|process
click|шерту|verb|
codec|кодек|noun|
color|түс|noun|
colored|түрлі-түсті|adjective|
column|баған|noun|
command|команда|noun|
component|компонент|noun|
compression|сығу|noun|
connection|қосылым|noun|
connector|байланыстыратын сызық|noun|line
continue|жалғастыру|verb|
control|басқару|noun|
coordinate|координата|noun|
countdown|кері санау|noun|
create|жасау|verb|
critical|критикалық|adjective|
crop|қиып жіберу|verb|
cursor|курсор|noun|
curve|қисық (сызық)|noun|
custom|пайдаланушылық|adjective|
cycle|ауыстырып өту|verb|
daemon|қызмет|noun|
data|деректер|noun|
database|дерекқор|noun|
debug|жөндеу|verb|
decode|декодтау|verb|
decoder|декодер|noun|
default|бастапқы|adjective|general adjective
default|үнсіз келісім бойынша|adjective|software setting or option
deinterlace|деинтерлейстеу|verb|
delay|кідіріс|noun|
delete|өшіру|verb|
demuxer|демультиплексор|noun|
description|сипаттама|noun|
destroy|жою|verb|
develop|әзірлеу|verb|
developer|әзірлеуші|noun|
device|құрылғы|noun|
dialog|сұхбат терезесі|noun|
directory|бума|noun|
disable|сөндіру|verb|
