about|туралы|preposition|осы туралы if in help - about
accelerate|үдету|verb|
accept|қабылдау|verb|accept action or button
accessed|қол жеткізілген|adjective|last accessed date
accessibility|арнайы мүмкіндіктер|noun|accessibility settings
access|қол жеткізу|verb|
account|тіркелгі|noun|
accuracy|дәлдік|noun|accuracy assessment
acres|акр|noun|area unit
action|әрекет|noun|
activate|белсендіру|verb|activate command or button
active|белсенді|adjective|
adapter|адаптер|noun|
added|қосылған|adjective|already added state
addon|қосымша|noun|
address|адрес|noun|
add|қосу|verb|add bookmark or item
administrator|әкімші|noun|administrator account
advanced|кеңейтілген|adjective|
aggregated|жиынды|adjective|aggregated result
aggregate|жиынтық|noun|aggregate function or grouped result
album|альбом|noun|audio metadata
alert|дабыл|noun|alert sound
algorithm|алгоритм|noun|
alias|бүркеншік ат|noun|
allowed|рұқсат етілген|adjective|allowed operation
allow|рұқсат ету|verb|allow browsing or setting changes
already|әлдеқашан|adverb|
alternate|балама|adjective|
altitude|абсолюттік биіктік|noun|altitude above sea level
analysis|анализ|noun|spatial or raster analysis
angle|бұрыш|noun|azimuth or rotation angle
annotation|аңдатпа|noun|map or layout annotation
any|кез келген|determiner|
appearance|сыртқы көрініс|noun|appearance settings
application|қолданба|noun|
apply|іске асыру|verb|
app|қолданба|noun|application window or default app
archive|архив|noun|
area|аудан|noun|feature area or area metric
array|массив|noun|
arrow|бағдарша|noun|
artist|орындаушы|noun|audio metadata
ascending|өсу ретімен|adverb|ascending sort order
aspect|экспозиция|noun|terrain aspect or azimuth
atlas|атлас|noun|layout atlas
attach|тіркеу|verb|attach device
attribute|атрибут|noun|
audio|аудио|noun|
authenticate|аутентификациялау|verb|network authentication
authentication|аутентификация|noun|network or enterprise authentication
authorization|авторизация|noun|authorization approved
autoaccept|автоматты түрде қабылдау|noun|Autoaccept plugin or setting
automatically|автоматты түрде|adverb|
automatic|автоматты түрде|adjective|
auto|авто|adjective|
away|кетіп қалған|adjective|away presence status
background|фон|noun|
backup|сақтық көшірме|noun|
backward|артқа|adverb|
balance|теңгерім|noun|audio balance
bandwidth|өткізу жолағы|noun|
band|жолақ|noun|
banner|баннер|noun|notification banner
basic|негізгі|adjective|basic group or fields
batch|топтама|noun|batch rename operation
battery|батарея|noun|battery device or state
bevel|бедер|noun|
bitrate|битрейт|noun|
bit|бит|noun|
black|қара|adjective|
block|блок|noun|
blue|көк|adjective|
bold|жуан|adjective|
bookmark|бетбелгі|noun|
boolean|логикалық|adjective|
border|шекара|noun|border or edge
bottom|төменгі|adjective|
boundary|шекара|noun|polygon or region boundary
box|жақтау|noun|box or bounding box
branch|тармақ|noun|
brightness|жарықтық|noun|
broken|сынған|adjective|broken link
browser|браузер|noun|
browse|шолу|verb|
brush|қылқалам|noun|
buddy|контакт|noun|IM buddy or contact
buffer|буфер|noun|
building|ғимарат|noun|building feature
build|құрастыру|verb|
button|батырма|noun|
byte|байт|noun|
cache|кэш|noun|application cache
caching|кэштеу|noun|
calculate|есептеу|verb|calculate values or metrics
calendar|күнтізбе|noun|calendar app or source
calibrate|калибрлеу|verb|calibrate device or profile
camera|камера|noun|camera brand or model metadata
cancelled|болдырылмады|adjective|cancelled operation
cancel|бас тарту|verb|
captions|жазулар|noun|icon captions
capture|түсіру|verb|
carrier|оператор|noun|mobile carrier
cartesian|декарттық|adjective|Cartesian coordinates
categorical|санаттық|adjective|categorical values
category|санат|noun|category field or value class
center|орта|noun|
centimeters|сантиметр|noun|metric length unit
change|өзгерту|verb|
channel|арна|noun|
chapter|тарау|noun|
character|таңба|noun|character or text symbol
charging|қуатталуда|adjective|charging state
chart|диаграмма|noun|chart or graph
chat|чат|noun|chat or chat client
checksum|бақылау сомасы|noun|
check|тексеру|verb|check validity or status
child|еншілес (процесс)|noun|process
classification|классификация|noun|classification result or process
classify|жіктеу|verb|classify values or features
class|класс|noun|classification or point class
cleaned|тазартылған|adjective|cleaned geometry or data
clear|тазарту|verb|clear stored password or board
clicking|шерту|noun|mouse clicking settings
click|шерту|verb|
client|клиент|noun|chat client application
clipboard|алмасу буфері|noun|clipboard data
close|жабу|verb|close window or dialog
cloud|бұлт|noun|cloud or point cloud
codec|кодек|noun|
code|код|noun|expression or script code
collect|жинау|verb|collect layers, styles, or values
colored|түрлі-түсті|adjective|
color|түс|noun|
column|баған|noun|
command|команда|noun|
comma|үтір|noun|comma-separated values
comment|түсініктеме|noun|table or field comment
complete|аяқталды|adjective|completed state
component|компонент|noun|
compressed|сығылған|adjective|compressed file or archive
compressing|сығылуда|adjective|progress status while compressing files
compression|сығу|noun|
compress|сығу|verb|compress files
computer|компьютер|noun|computer device
configuration|конфигурация|noun|device or VPN configuration
configure|баптау|verb|configure firewall or modem
confirm|растау|verb|confirm password or action
conflict|қайшылық|noun|filename conflict
connected|қосылған|adjective|device or media connected
connecting|қосылуда|adjective|connection in progress
connection|қосылым|noun|
connector|байланыстыратын сызық|noun|line
connect|қосылу|verb|connect to network location
contact|контакт|noun|contacts source
contain|қамту|verb|group or field description
content|мазмұн|noun|file contents
context|контекст|noun|context menu or action context
continue|жалғастыру|verb|
contrast|контраст|noun|image contrast
control|басқару|noun|
conversation|әңгіме|noun|chat conversation or conversation window
conversion|түрлендіру|noun|unit or raster conversion
coordinate reference system|координаттық есептеу жүйесі|noun|CRS
coordinate|координата|noun|
copied|көшірілген|adjective|copied files
copying|көшірілуде|adjective|progress status while copying
copy|көшіру|verb|
corrupted|зақымдалған|adjective|corrupted content
countdown|кері санау|noun|
count|санау|verb|count items in folders
created|жасалған|adjective|creation date
create|жасау|verb|
creating|жасалуда|adjective|progress status while creating
creation|жасау|noun|layer or object creation
credential|тіркелу мәліметтері|noun|credential provider or stored secret
critical|критикалық|adjective|
crop|қиып жіберу|verb|
crosshair|айқыш сызық|noun|crosshair lines
crs|CRS|noun|coordinate reference system abbreviation
cursor|курсор|noun|
curve|қисық (сызық)|noun|
custom|пайдаланушылық|adjective|
cut|қиып алу|verb|clipboard action
cycle|ауыстырып өту|verb|
daemon|қызмет|noun|
database|дерекқор|noun|
dataset|деректер жиыны|noun|raster or vector dataset
datasource|деректер көзі|noun|input data source
data|деректер|noun|
datetime|күн мен уақыт|noun|datetime, date, or time value
date|күн|noun|date filter or file date
day|күн|noun|time unit
debug|жөндеу|verb|
decimal|ондық|adjective|decimal degrees or decimal value
decoder|декодер|noun|
decode|декодтау|verb|
default|бастапқы|adjective|general adjective
default|үнсіз келісім бойынша|adjective|software setting or option
defined|анықталған|adjective|defined CRS or value
definition|сипаттама|noun|view or column definition
degree|градус|noun|angle or geographic degree
deinterlace|деинтерлейстеу|verb|
delay|кідіріс|noun|
deleted|өшірілген|adjective|deleted item
delete|өшіру|verb|
deleting|өшірілуде|adjective|progress status while deleting
demuxer|демультиплексор|noun|
denied|рұқсат берілмеді|adjective|access denied
density|тығыздық|noun|edge or feature density
descending|кему ретімен|adverb|descending sort order
description|сипаттама|noun|
desktop|жұмыс үстелі|noun|GNOME desktop
destination|мақсатты орын|noun|destination folder or file
destroy|жою|verb|
detailed|толық ақпарат|adjective|detailed type or detailed date format
details|толық ақпарат|noun|details section or message
detected|анықталған|adjective|automatically detected value
detect|анықтау|verb|detect edges or polygons
developer|әзірлеуші|noun|
develop|әзірлеу|verb|
device|құрылғы|noun|
diagnostics|диагностика|noun|diagnostic tools
dialog|сұхбат терезесі|noun|
diffuse|диффузиялық|adjective|diffuse lighting or reflectance
direction|бағыт|noun|flow or routing direction
directly|тікелей|adverb|
directory|бума|noun|
disabled|сөндірілген|adjective|
disable|сөндіру|verb|
disconnected|ажыратылған|adjective|device or service disconnected
disconnect|ажырату|verb|disconnect network location or device
discrete|дискретті|adjective|discrete values or classes
disc|диск|noun|
displayed|көрсетілген|adjective|content displayed in views
display|көрсету|verb|display file contents or timestamps
dissolved|біріктірілген|adjective|dissolved features
dissolve|біріктіру|verb|dissolve features
distance|қашықтық|noun|
document|құжат|noun|
domain|домен|noun|network or login domain
donate|демеушілік ету|verb|
download|жүктеп алу|verb|
down|төмен|adverb|
drag|сүйреу|verb|drag operation
driver|драйвер|noun|hardware driver
drive|диск құрылғысы|noun|multi-disk drive
dropped|тасталған|adjective|dropped image or text
drop|тастау|verb|drop action in drag and drop
dummy|бос|adjective|
dump|дамп|noun|
duplicated|көшірмесі жасалған|adjective|duplicated file or item
duplicate|көшірме жасау|verb|duplicate file or item
duration|ұзақтық|noun|
east|шығыс|noun|east direction
edge|жиек|noun|border or side
edge|қабырға|noun|graph or mesh
edited|түзетілген|adjective|edited message marker
edit|түзету|verb|
effect|эффект|noun|
eject|шығару|verb|eject removable device
elevation|биіктік|noun|elevation raster, DEM, or elevation units
email|эл. пошта|noun|send by email
emboss|барельеф|verb|
empty|бос|adjective|empty name or empty folder
enabled|іске қосылған|adjective|
enable|іске қосу|verb|
enclosed|ішіндегі|adjective|items enclosed in a folder
encoder|кодтаушы|noun|
encoding|кодтау|noun|
encrypted|шифрленген|adjective|
